名称,住所,避難場所面積,避難場所の収容可能人員,避難施設の収容可能人員,URL,コメント,電話番号,写真,担当課,経度,緯度,分類
指定避難所（川平小学校）,仙台市青葉区川平3-36-1,"6,603(㎡)","3,300(人)",853(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8379203,38.30557569,指定避難所
指定避難所（東六番丁小学校）,仙台市青葉区宮町1-2-1,"4,414(㎡)","2,200(人)",672(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8839232,38.26574325,指定避難所
指定避難所（北六番丁小学校）,仙台市青葉区宮町4-4-17,"3,500(㎡)","1,700(人)",770(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8822224,38.27593397,指定避難所
指定避難所（貝森小学校）,仙台市青葉区貝ケ森5-6-1,"8,475(㎡)","4,200(人)",518(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8395938,38.28631965,指定避難所
指定避難所（広瀬小学校）,仙台市青葉区下愛子字二本松40,"12,796(㎡)","6,300(人)","1,360(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.77643,38.27126471,指定避難所
指定避難所（広瀬中学校）,仙台市青葉区愛子中央1-9-1,"28,000(㎡)","14,000(人)","1,327(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.7627081,38.27346288,指定避難所
指定避難所（上愛子小学校）,仙台市青葉区上愛子字白沢14,"10,947(㎡)","5,400(人)",543(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.6931455,38.28469217,指定避難所
指定避難所（作並小学校）,仙台市青葉区作並字北子原6,"3,554(㎡)","1,700(人)",512(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.6358848,38.31642747,指定避難所
指定避難所（作並小学校新川分校）,仙台市青葉区新川字北野尻34,"4,090(㎡)","2,000(人)",220(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.6331141,38.30352273,指定避難所
指定避難所（大倉小学校）,仙台市青葉区大倉字墓前1,"7,438(㎡)","3,700(人)",354(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.6978724,38.33416048,指定避難所
