名称,住所,避難場所面積,避難場所の収容可能人員,避難施設の収容可能人員,URL,コメント,電話番号,写真,担当課,経度,緯度,分類
地域避難場所（日の出町公園）,仙台市宮城野区日の出町3-6,"28,922(㎡)","14,400(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.9333944,38.2636558,地域避難場所
地域避難場所（扇町四丁目公園）,仙台市宮城野区扇町4-9-1,"26,826(㎡)","13,400(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.9526888,38.26480329,地域避難場所
地域避難場所（福田町南一丁目公園）,仙台市宮城野区福田町南1-1007,"16,093(㎡)","8,000(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.9609204,38.25937117,地域避難場所
地域避難場所（高砂一丁目公園）,仙台市宮城野区高砂1-23-1,"10,123(㎡)","5,000(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.9724262,38.27081107,地域避難場所
地域避難場所（出花二丁目公園）,仙台市宮城野区出花2-7-9,"3,594(㎡)","1,700(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.9877384,38.27857651,地域避難場所
地域避難場所（宮城県仙台第一高等学校）,仙台市若林区元茶畑4,"25,450(㎡)","12,700(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.8927695,38.25075582,地域避難場所
地域避難場所（宮城県仙台二華中学校・高等学校）,仙台市若林区連坊1-4-1,"9,218(㎡)","4,600(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.8868855,38.25335193,地域避難場所
地域避難場所（木ノ下公園）,仙台市若林区木ノ下2-69,"9,132(㎡)","4,500(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.9017381,38.2515432,地域避難場所
地域避難場所（広瀬川宮沢緑地）,仙台市若林区堰場地先,"18,253(㎡)","9,100(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.8852508,38.2419698,地域避難場所
地域避難場所（卸町五丁目公園）,仙台市若林区卸町5-4,"18,072(㎡)","9,000(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.93126,38.25547584,地域避難場所
